      Time          Predicted AE
2013/155-09:40:00      234.7
2013/155-09:50:00      250.5
2013/155-10:00:00      254.6
2013/155-10:10:00      266.5
2013/155-10:20:00      262.2
2013/155-10:30:00      245.1
2013/155-10:40:00      224.8
2013/155-10:50:00      210.6
2013/155-11:00:00      197.5
2013/155-11:10:00      187.7
2013/155-11:20:00      183.2
2013/155-11:30:00      180.5
2013/155-11:40:00      180.2
2013/155-11:50:00      183.3
2013/155-12:00:00      185.6
2013/155-12:10:00      187.4
2013/155-12:20:00      183.8
2013/155-12:30:00      172.3
2013/155-12:40:00      161.2
2013/155-12:50:00      150.9
2013/155-13:00:00      140.8
2013/155-13:10:00      130.1
2013/155-13:20:00      119.9
2013/155-13:30:00      110.2
2013/155-13:40:00      101.1
2013/155-13:50:00       93.0
2013/155-14:00:00       86.1
2013/155-14:10:00       80.5
2013/155-14:20:00       75.8
2013/155-14:30:00       71.7
2013/155-14:40:00       68.2
2013/155-14:50:00       65.0
2013/155-15:00:00       62.2
2013/155-15:10:00       59.9
2013/155-15:20:00       57.9
2013/155-15:30:00       56.2
2013/155-15:40:00       54.7
2013/155-15:50:00       53.3
2013/155-16:00:00       52.1
2013/155-16:10:00       51.1
2013/155-16:20:00       50.2
2013/155-16:30:00       49.4
2013/155-16:40:00       49.9
2013/155-16:50:00       53.1
2013/155-17:00:00       63.5
2013/155-17:10:00       80.2
2013/155-17:20:00       98.1
2013/155-17:30:00      116.9
2013/155-17:40:00      134.9
2013/155-17:50:00      152.0
2013/155-18:00:00      167.3
2013/155-18:10:00      180.8
2013/155-18:20:00      192.2
2013/155-18:30:00      201.7
2013/155-18:40:00      209.2
2013/155-18:50:00      214.7
2013/155-19:00:00      218.6
2013/155-19:10:00      221.3
2013/155-19:20:00      223.1
2013/155-19:30:00      224.2
2013/155-19:40:00      223.2
2013/155-19:50:00      220.3
2013/155-20:00:00      208.6
2013/155-20:10:00      195.6
2013/155-20:20:00      185.0
2013/155-20:30:00      173.1
2013/155-20:40:00      160.1
2013/155-20:50:00      148.9
2013/155-21:00:00      139.6
2013/155-21:10:00      129.9
2013/155-21:20:00      119.8
2013/155-21:30:00      110.4
2013/155-21:40:00      103.7
2013/155-21:50:00      101.4
2013/155-22:00:00       99.2
2013/155-22:10:00      104.6
2013/155-22:20:00      126.9
2013/155-22:30:00      159.4
2013/155-22:40:00      190.2
2013/155-22:50:00      213.1
2013/155-23:00:00      229.7
2013/155-23:10:00      255.5
2013/155-23:20:00      289.1
2013/155-23:30:00      321.1
2013/155-23:40:00      347.4
2013/155-23:50:00      368.4
2013/156-00:00:00      382.1
2013/156-00:10:00      381.8
2013/156-00:20:00      367.3
2013/156-00:30:00      340.5
2013/156-00:40:00      310.3
2013/156-00:50:00      280.5
2013/156-01:00:00      252.1
2013/156-01:10:00      225.0
2013/156-01:20:00      199.5
2013/156-01:30:00      176.6
2013/156-01:40:00      156.8
2013/156-01:50:00      141.0
2013/156-02:00:00      126.8
2013/156-02:10:00      114.7
2013/156-02:20:00      105.4
2013/156-02:30:00       98.5
2013/156-02:40:00       92.7
2013/156-02:50:00       87.7
2013/156-03:00:00       84.5
2013/156-03:10:00       83.8
2013/156-03:20:00       99.9
2013/156-03:30:00      123.7
2013/156-03:40:00      152.1
2013/156-03:50:00      190.0
2013/156-04:00:00      232.3
